city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Bellechester,Bellechester,MN,Minnesota,27049,Goodhue,27049|27157,Goodhue|Wabasha,44.371,-92.5113,173,211,polygon,FALSE,TRUE,America/Chicago,3,55027,1840006779
Elmore,Elmore,MN,Minnesota,27043,Faribault,27043,Faribault,43.5069,-94.0888,624,264,polygon,FALSE,TRUE,America/Chicago,3,56027,1840007945
Rosemount,Rosemount,MN,Minnesota,27037,Dakota,27037,Dakota,44.7465,-93.0662,24344,282,polygon,FALSE,TRUE,America/Chicago,3,55068,1840008951
Albany,Albany,MN,Minnesota,27145,Stearns,27145,Stearns,45.6284,-94.5674,2698,477,polygon,FALSE,TRUE,America/Chicago,3,56307,1840006683
Grant,Grant,MN,Minnesota,27163,Washington,27163,Washington,45.0825,-92.909,4149,63,polygon,FALSE,TRUE,America/Chicago,3,55115 55082,1840007809
West Union,West Union,MN,Minnesota,27153,Todd,27153,Todd,45.7982,-95.0885,124,112,polygon,FALSE,TRUE,America/Chicago,3,56389 56360,1840009982
Hollandale,Hollandale,MN,Minnesota,27047,Freeborn,27047,Freeborn,43.7598,-93.2043,300,262,polygon,FALSE,TRUE,America/Chicago,3,56045,1840006828
Chokio,Chokio,MN,Minnesota,27149,Stevens,27149,Stevens,45.5731,-96.1747,377,336,polygon,FALSE,TRUE,America/Chicago,3,56221,1840006687
Monticello,Monticello,MN,Minnesota,27171,Wright,27171,Wright,45.298,-93.7984,27215,599,polygon,FALSE,TRUE,America/Chicago,3,55362,1840007795
Stacy,Stacy,MN,Minnesota,27025,Chisago,27025,Chisago,45.3841,-92.9938,1507,180,polygon,FALSE,TRUE,America/Chicago,3,55079 55092 55078,1840008894
Wrenshall,Wrenshall,MN,Minnesota,27017,Carlton,27017,Carlton,46.6217,-92.384,410,106,polygon,FALSE,TRUE,America/Chicago,3,55797,1840009973
Pelican Rapids,Pelican Rapids,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.57,-96.086,2466,379,polygon,FALSE,TRUE,America/Chicago,3,56572,1840008851
La Prairie,La Prairie,MN,Minnesota,27061,Itasca,27061,Itasca,47.2302,-93.4913,660,154,polygon,FALSE,TRUE,America/Chicago,3,55744,1840007718
Albertville,Albertville,MN,Minnesota,27171,Wright,27171,Wright,45.2364,-93.6618,7403,646,polygon,FALSE,TRUE,America/Chicago,3,55301,1840006706
Hastings,Hastings,MN,Minnesota,27037,Dakota,27037,Dakota,44.7318,-92.8538,22882,852,polygon,FALSE,TRUE,America/Chicago,3,55033,1840006770
